NAME;MONTHS
Common Butterfly;[9,10,11,12,1,2,3,4,5,6]
Yellow Butterfly;[3,4,5,6,9,10]
Tiger Butterfly;[3,4,5,6,7,8,9]
Peacock Butterfly;[3,4,5,6]
Common Bluebottle;[4,5,6,7,8]
Paper Kite Butterfly;[1,2,3,4,5,6,7,8,9,10,11,12]
Great Purple Emperor;[5,6,7,8]
Monarch Butterfly;[9,10,11]
Emperor Butterfly;[12,1,2,3,6,7,8,9]
Agrias Butterfly;[4,5,6,7,8,9]
Rajah Brooke's Birdwing;[12,1,2,4,5,6,7,8,9]
Queen Alexandra's Birdwing;[5,6,7,8,9]
Moth;[1,2,3,4,5,6,7,8,9,10,11,12]
Atlas Moth;[4,5,6,7,8,9]
Madagascan Sunset Moth;[4,5,6,7,8,9]
Long Locust;[4,5,6,7,8,9,10,11]
Migratory Locust;[8,9,10,11]
Rice Grasshopper;[8,9,10,11]
Grasshopper;[7,8,9]
Cricket;[9,10,11]
Bell Cricket;[9,10]
Mantis;[3,4,5,6,7,8,9,10,11]
Orchid Mantis;[3,4,5,6,7,8,9,10,11]
Honeybee;[3,4,5,6,7]
Wasp;[1,2,3,4,5,6,7,8,9,10,11,12]
Brown Cicada;[7,8]
Robust Cicada;[7,8]
Giant Cicada;[7,8]
Walker Cicada;[8,9]
Evening Cicada;[7,8]
Cicada Shell;[7,8]
Red Dragonfly;[9,10]
Darner Dragonfly;[4,5,6,7,8,9,10]
Banded Dragonfly;[5,6,7,8,9,10]
Damselfly;[11,12,1,2]
Firefly;[6]
Mole Cricket;[11,12,1,2,3,4,5]
Pondskater;[5,6,7,8,9]
Diving Beetle;[5,6,7,8,9]
Giant Water Bug;[4,5,6,7,8,9]
Stinkbug;[3,4,5,6,7,8,9,10]
Man-faced Stink Bug;[3,4,5,6,7,8,9,10]
Ladybug;[3,4,5,6,10]
Tiger Beetle;[2,3,4,5,6,7,8,9,10]
Jewel Beetle;[4,5,6,7,8]
Citrus Long-horned Beetle;[1,2,3,4,5,6,7,8,9,10,11,12]
Rosalia Batesi Beetle;[5,6,7,8,9]
Blue Weevil Beetle;[7,8]
Violin Beetle;[5,6,9,10,11]
Dung Beetle;[12,1,2]
Earth-boring Dung Beetle;[7,8,9]
Scarab Beetle;[7,8]
Drone Beetle;[6,7,8]
Goliath Beetle;[6,7,8,9]
Saw Stag;[7,8]
Miyama Stag;[7,8]
Giant Stag;[7,8]
Rainbow Stag;[6,7,8,9]
Cyclommatus Stag;[7,8]
Golden Stag;[7,8]
Giraffe Stag;[7,8]
Horned Dynastid;[7,8]
Horned Atlas;[7,8]
Horned Elephant;[7,8]
Horned Hercules;[7,8]
Walking Stick;[7,8,9,10,11]
Walking Leaf;[7,8,9]
Bagworm;[1,2,3,4,5,6,7,8,9,10,11,12]
Ant;[1,2,3,4,5,6,7,8,9,10,11,12]
Hermit Crab;[1,2,3,4,5,6,7,8,9,10,11,12]
Wharf Roach;[1,2,3,4,5,6,7,8,9,10,11,12]
Fly;[1,2,3,4,5,6,7,8,9,10,11,12]
Mosquito;[6,7,8,9]
Flea;[4,5,6,7,8,9,10,11]
Snail;[1,2,3,4,5,6,7,8,9,10,11,12]
Pill Bug;[9,10,11,12,1,2,3,4,5,6]
Centipede;[9,10,11,12,1,2,3,4,5,6]
Spider;[1,2,3,4,5,6,7,8,9,10,11,12]
Tarantula;[11,12,1,2,3,4]
Scorpion;[5,6,7,8,9,10]
