NAME;MONTHS
Bitterling;[1, 2, 3, 11, 12]
Pale Chub;[1,2,3,4,5,6,7,8,9,10,11,12]
Crucian Carp;[1,2,3,4,5,6,7,8,9,10,11,12]
Dace;[1,2,3,4,5,6,7,8,9,10,11,12]
Carp;[1,2,3,4,5,6,7,8,9,10,11,12]
Koi;[1,2,3,4,5,6,7,8,9,10,11,12]
Goldfish;[1,2,3,4,5,6,7,8,9,10,11,12]
Pop-eyed Goldfish;[1,2,3,4,5,6,7,8,9,10,11,12]
Ranchu Goldfish;[1,2,3,4,5,6,7,8,9,10,11,12]
Killifish;[4,5,6,7,8]
Crawfish;[4,5,6,7,8,9]
Soft-shelled Turtle;[8,9]
Snapping Turtle;[4,5,6,7,8,9,10]
Tadpole;[3,4,5,6,7]
Frog;[5,6,7,8]
Freshwater Goby;[1,2,3,4,5,6,7,8,9,10,11,12]
Loach;[3,4,5]
Catfish;[5,6,7,8,9,10]
Giant Snakehead;[6,7,8]
Bluegill;[1,2,3,4,5,6,7,8,9,10,11,12]
Yellow Perch;[10,11,12,1,2,3]
Black Bass;[1,2,3,4,5,6,7,8,9,10,11,12]
Tilapia;[6,7,8,9,10]
Pike;[9,10,11,12]
Pond Smelt;[12,1,2]
Sweetfish;[7,8,9]
Cherry Salmon;[3,4,5,6,8,9,10,11]
Char;[3,4,5,6,9,10,11]
Golden Trout;[3,4,5,9,10,11]
Stringfish;[12,1,2,3]
Salmon;[9]
King Salmon;[9]
Mitten Crab;[9,10,11]
Guppy;[4,5,6,7,8,9,10,11]
Nibble Fish;[5,6,7,8,9]
Angelfish;[5,6,7,8,9,10]
Betta;[5,6,7,8,9,10]
Neon Tetra;[4,5,6,7,8,9,10,11]
Rainbowfish;[5,6,7,8,9,10]
Piranha;[6,7,8,9]
Arowana;[6,7,8,9]
Dorado;[6,7,8,9]
Gar;[6,7,8,9]
Arapaima;[6,7,8,9]
Saddled Bichir;[6,7,8,9]
Sturgeon;[9,10,11,12,1,2,3]
Sea Butterfly;[12,1,2,3]
Seahorse;[4,5,6,7,8,9,10,11]
Clownfish;[4,5,6,7,8,9]
Surgeonfish;[4,5,6,7,8,9]
Butterfly Fish;[4,5,6,7,8,9]
Napoleonfish;[7,8]
Zebra Turkeyfish;[4,5,6,7,8,9,10,11]
Blowfish;[11,12,1,2]
Puffer Fish;[7,8,9]
Anchovy;[1,2,3,4,5,6,7,8,9,10,11,12]
Horse Mackerel;[1,2,3,4,5,6,7,8,9,10,11,12]
Barred Knifejaw;[3,4,5,6,7,8,9,10,11]
Sea Bass;[1,2,3,4,5,6,7,8,9,10,11,12]
Red Snapper;[1,2,3,4,5,6,7,8,9,10,11,12]
Dab;[10,11,12,1,2,3,4]
Olive Flounder;[1,2,3,4,5,6,7,8,9,10,11,12]
Squid;[12,1,2,3,4,5,6,7,8]
Moray Eel;[8,9,10]
Ribbon Eel;[6,7,8,9,10]
Tuna;[11,12,1,2,3,4]
Blue Marlin;[11,12,1,2,3,4,7,8,9]
Giant Trevally;[5,6,7,8,9]
Mahi-mahi;[5,6,7,8,9,10]
Ocean Sunfish;[7,8,9]
Ray;[8,9,10,11]
Saw Shark;[6,7,8,9]
Hammerhead Shark;[6,7,8,9]
Great White Shark;[6,7,8,9]
Whale Shark;[6,7,8,9]
Suckerfish;[6,7,8,9]
Football Fish;[11,12,1,2,3]
Oarfish;[12,1,2,3,4,5]
Barreleye;[1,2,3,4,5,6,7,8,9,10,11,12]
Coelacanth;[1,2,3,4,5,6,7,8,9,10,11,12]

